PATH,GIT_STATUS,CATEGORY,INCLUDE_RELEASE,REASON,PRIVATE,GENERATED,TEST,REPORT,SOURCE,MIGRATION,BUILD_ASSET,RISK
VERSION,MODIFIED,INCLUDE,YES,Canonical patch version,NO,NO,NO,NO,YES,NO,NO,LOW
README.md,MODIFIED,INCLUDE,YES,Current version badge,NO,NO,NO,NO,YES,NO,NO,LOW
CHANGELOG.md,MODIFIED,INCLUDE,YES,v1.33.1 release history,NO,NO,NO,YES,NO,NO,NO,LOW
docs/UPDATE_LIVE_SERVER.md,MODIFIED,INCLUDE,YES,Current production update pointer,NO,NO,NO,YES,NO,NO,NO,LOW
docs/release/RELEASE_1.33.1.md,UNTRACKED,INCLUDE,YES,Release notes,NO,NO,NO,YES,NO,NO,NO,LOW
docs/release/LIVE_DEPLOYMENT_RUNBOOK_1.33.1.md,UNTRACKED,INCLUDE,YES,Exact production and rollback procedure,NO,NO,NO,YES,NO,NO,NO,MEDIUM
docs/release/artifacts/release_patch_file_classification.csv,UNTRACKED,INCLUDE,YES,Audited release file inventory,NO,NO,NO,YES,NO,NO,NO,LOW
docs/reports/final/AI_PRODUCT_CURRENT_HISTORY_STATE_POST_DEPLOY_REGRESSION.md,UNTRACKED,INCLUDE,YES,Certified regression evidence,NO,NO,NO,YES,NO,NO,NO,LOW
app/Filament/Resources/Products/Pages/EditProduct.php,MODIFIED,INCLUDE,YES,Current action and history job separation,NO,NO,NO,NO,YES,NO,NO,MEDIUM
app/Filament/Resources/Products/Tables/ProductsTable.php,MODIFIED,INCLUDE,YES,Current versus historical status filters and display,NO,NO,NO,NO,YES,NO,NO,HIGH
app/Livewire/AiProductLiveStatus.php,MODIFIED,INCLUDE,YES,Current and history job URL fallback,NO,NO,NO,NO,YES,NO,NO,MEDIUM
app/Services/AI/AiContentStatusPresenter.php,MODIFIED,INCLUDE,YES,AVAILABLE presentation contract,NO,NO,NO,NO,YES,NO,NO,LOW
app/Services/AI/AiProductContentStateResolver.php,MODIFIED,INCLUDE,YES,Canonical current and history state separation,NO,NO,NO,NO,YES,NO,NO,HIGH
