key,label,reference_class,mapping_quality,current_w_m2,current_btu_m2,reference_low_btu_m2,reference_typical_btu_m2,reference_high_btu_m2,delta_vs_typical_percent,classification,severity,reference_evidence
nha_o,"Căn hộ, nhà ở",residential,CLOSE,120,409.457,600,650,700,-37.01,LOWER_THAN_REFERENCE,HIGH,"Panasonic 600 + user residential 700"
phong_khach,"Phòng khách (nhà ở)",living_dining,CLOSE,120,409.457,600,725,850,-43.52,LOWER_THAN_REFERENCE,HIGH,"Panasonic residential + user living/dining 850"
khach_san,"Khách sạn, nhà nghỉ",hotel_bedroom,EXACT,120,409.457,700,750,800,-45.41,LOWER_THAN_REFERENCE,HIGH,"Panasonic Vietnam hotel 700-800"
van_phong,"Văn phòng (viền ngoài)",office,EXACT,170,580.064,700,750,800,-22.66,LOWER_THAN_REFERENCE,MEDIUM,"Panasonic Vietnam office 700-800"
van_phong_interior,"Văn phòng (bên trong)",office_interior,CLOSE,100,341.214,700,750,800,-54.5,LOWER_THAN_REFERENCE,HIGH,"Panasonic office; no interior distinction"
van_phong_private,"Văn phòng cá nhân",private_office,CLOSE,180,614.185,700,750,800,-18.11,LOWER_THAN_REFERENCE,LOW,"Panasonic office; no private distinction"
cua_hang,"Cửa hàng",retail,EXACT,165,563.003,750,800,850,-29.62,LOWER_THAN_REFERENCE,MEDIUM,"User-supplied retail 800"
sieu_thi,"Siêu thị",retail_supermarket,CLOSE,160,545.943,800,900,1000,-39.34,LOWER_THAN_REFERENCE,HIGH,"User retail/shopping-center references"
showroom,Showroom,showroom,AMBIGUOUS,300,1023.642,,,,,NO_COMPARABLE_REFERENCE,INFO,"No semantically safe direct reference"
ngan_hang,"Ngân hàng",bank,EXACT,175,597.125,800,850,900,-29.75,LOWER_THAN_REFERENCE,MEDIUM,"User-supplied bank 850"
nha_hang,"Nhà hàng",restaurant,EXACT,330,1126.007,900,950,1000,18.53,HIGHER_THAN_REFERENCE,LOW,"Panasonic Vietnam restaurant 900-1000"
cafe,"Quán cà phê",cafe,EXACT,350,1194.25,900,950,1000,25.71,HIGHER_THAN_REFERENCE,MEDIUM,"Panasonic Vietnam cafe 900-1000"
fastfood,"Thức ăn nhanh, giải khát",fast_food,CLOSE,270,921.278,900,950,1000,-3.02,WITHIN_REFERENCE,INFO,"Panasonic restaurant/cafe range"
hoi_truong,"Hội trường, giảng đường",auditorium,EXACT,280,955.4,900,950,1000,0.57,WITHIN_REFERENCE,INFO,"Panasonic Vietnam hall 900-1000"
phong_hop,"Phòng họp",meeting_hall,CLOSE,275,938.339,1000,1250,1500,-24.93,LOWER_THAN_REFERENCE,MEDIUM,"User-supplied meeting hall 1500; Panasonic hall 900-1000"
phong_hoc,"Phòng học",classroom,NO_MATCH,95,324.153,,,,,NO_COMPARABLE_REFERENCE,INFO,"No supplied comparable class"
thu_vien,"Thư viện",library,EXACT,150,511.821,800,850,900,-39.79,LOWER_THAN_REFERENCE,HIGH,"User-supplied library/museum 850"
rap_hat,"Rạp hát",theatre,NO_MATCH,280,955.4,,,,,NO_COMPARABLE_REFERENCE,INFO,"Dance hall is not theatre"
benh_vien,"Bệnh viện, phòng khám",clinic,NO_MATCH,190,648.307,,,,,NO_COMPARABLE_REFERENCE,INFO,"No supplied comparable class"
phong_duoc,"Văn phòng dược",medical_office,AMBIGUOUS,185,631.246,,,,,NO_COMPARABLE_REFERENCE,INFO,"Generic office mapping may hide medical loads"
nha_xuong,"Nhà xưởng (CN nhẹ)",light_factory,NO_MATCH,275,938.339,,,,,NO_COMPARABLE_REFERENCE,INFO,"No supplied industrial reference"
nha_xuong_nang,"Nhà xưởng (CN nặng)",heavy_factory,NO_MATCH,490,1671.949,,,,,NO_COMPARABLE_REFERENCE,INFO,"No supplied industrial reference"
phong_may_tinh,"Phòng máy tính / Server",server_room,NO_MATCH,480,1637.828,,,,,NO_COMPARABLE_REFERENCE,INFO,"Generic office references are inapplicable"
phong_thi_nghiem,"Phòng thí nghiệm",laboratory,NO_MATCH,230,784.793,,,,,NO_COMPARABLE_REFERENCE,INFO,"No supplied laboratory reference"
tham_my_vien,"Thẩm mỹ viện",beauty_shop,NO_MATCH,260,887.157,,,,,NO_COMPARABLE_REFERENCE,INFO,"No supplied comparable class"
sanh_hanh_lang,"Sảnh, hành lang",lobby_or_corridor,AMBIGUOUS,135,460.639,,,,,NO_COMPARABLE_REFERENCE,INFO,"Panasonic lobby 900-1000 does not safely map to corridor"
tang_ham,"Tầng hầm",basement,NO_MATCH,125,426.518,,,,,NO_COMPARABLE_REFERENCE,INFO,"No supplied comparable class"
