ID,FINAL_STATUS,EVIDENCE,REMAINING_LIMITATION
AI-STATE-001,FIXED,"Canonical lineage resolver tests and browser matrix PASS","Historical anomalies remain evidence"
AI-STATE-002,FIXED,"Canonical parent reconciler aggregation matrix PASS","Fourteen historical parent mismatches are reported read-only"
AI-DATA-003,FIXED,"Multiple actionable drafts produce INVARIANT_BLOCKED","Product 1239 history is not rewritten"
AI-LIFE-004,FIXED,"Durable cancel intent checkpoints lifecycle service and cancellation tests PASS","Provider transport already in flight cannot be physically recalled"
AI-RETRY-005,FIXED,"Terminal reopen rejected and retry creates a new operation","Historical retry records remain unchanged"
AI-DUP-006,FIXED,"Product row lock canonical conflict query and double Generate tests PASS","None"
AI-SPECIAL-007,FIXED,"Product ID exclusions removed and regression test PASS","Historical disposition remains in audit records only"
AI-SCHEMA-008,FIXED,"Additive migration batch 25 ran; UUID cancel fields and indexes verified","Historical rows are intentionally not backfilled without proof"
AI-APPROVAL-009,FIXED,"Legacy missing approval hash fails safe in Apply readiness","Draft 6 remains historical evidence"
AI-STATE-010,FIXED,"Compatibility adapter and scanner classify five historical mismatches","No mass history rewrite"
AI-OPS-011,FIXED,"ai:product-integrity-audit JSON/CSV reports 21 known and 0 unknown without mutation","Scanner reports but never repairs"
AI-PARITY-012,FIXED,"Single and bulk browser workflows use canonical lifecycle/readiness services","UI orchestration remains intentionally separate"
AI-ENC-013,ACCEPTED_LIMITATION,"Primary tested workflow had zero console/network/Livewire errors","Historical mojibake evidence is preserved rather than rewritten blindly"
AI-OBS-014,ACCEPTED_LIMITATION,"Critical generate cancel retry recover and reconciliation paths are centralized","Non-lifecycle content phase transitions still use the canonical state machine directly"
AI-QUEUE-015,FIXED,"Dispatch UUID correlation terminal/wrong-dispatch no-op tests and worker drain PASS","Five legacy ai-queue payloads remain untouched as historical data"
AI-LIVE-016,BLOCKED_BY_EXTERNAL_DEPENDENCY,"No SSH or authenticated live operations session supplied","Public HTTP cannot prove migrations settings worker hash or scheduler"
AI-PERF-017,FIXED,"Twenty-Product status polling bounded query regression PASS","Live production latency still requires read-only runtime access"
AI-RELEASE-018,FIXED,"README badge now follows canonical VERSION 1.32.2 and full test passes","No version bump or release operation authorized"
