Current Group,Current Item,Actual Model/Resource,Actual Purpose,Primary Domain,Primary/Secondary,Frequency,Frontend Consumer,Parent Capability,Proposed Group,Proposed Label,Proposed Sort,Keep Sidebar?,Reason
"Tổng quan","Bảng điều khiển","Dashboard + widgets","KPI and operational summary","Tổng quan","PRIMARY","DAILY","admin","System overview","Tổng quan","Bảng điều khiển","0","YES","Direct entry point"
"Bán hàng","Khách hàng tiềm năng","LeadResource","Lead workflow","Bán hàng","PRIMARY","DAILY","forms/landing","Sales pipeline","Bán hàng","Khách hàng tiềm năng","1","YES","Daily operator workflow"
"Bán hàng","Báo giá","QuoteRequestResource","Quote request workflow","Bán hàng","PRIMARY","DAILY","quote page","Sales pipeline","Bán hàng","Báo giá","2","YES","Daily operator workflow"
"Bán hàng","Tư vấn công suất BTU","BtuCalculationResource","Consultation history","Bán hàng","SECONDARY","WEEKLY","BTU calculator","Sales qualification","Bán hàng","Tư vấn công suất BTU","3","YES","Belongs to lead/quote workflow"
"Nội dung","Cam kết báo giá","QuoteCommitmentBlockResource","Quote-page trust block","Bán hàng","CONFIGURATION","OCCASIONAL","pages/quote + quote component","Quote experience","Bán hàng","Cam kết báo giá","4","YES","Only consumed by quote page"
"Bán hàng","Đánh giá","ProductReviewResource","Moderate product reviews","Bán hàng","PRIMARY","DAILY","product detail","Customer interaction","Bán hàng","Đánh giá","5","YES","Actionable customer queue"
"Bán hàng","Hỏi đáp","ProductQuestionResource","Answer product questions","Bán hàng","PRIMARY","DAILY","product detail","Customer interaction","Bán hàng","Hỏi đáp","6","YES","Actionable customer queue"
"Sản phẩm","Sản phẩm","ProductResource","Manage sellable products","Sản phẩm","PRIMARY","DAILY","product list/detail","Catalog","Sản phẩm","Sản phẩm","1","YES","Primary catalog workflow"
"Sản phẩm","Danh mục sản phẩm","ProductCategoryResource","Product taxonomy and technical schema","Sản phẩm","SECONDARY","WEEKLY","category pages","Catalog","Sản phẩm","Danh mục sản phẩm","2","YES","High-impact catalog ownership"
"Sản phẩm","Thương hiệu","BrandResource","Brand ownership","Sản phẩm","SECONDARY","WEEKLY","brand pages","Catalog","Sản phẩm","Thương hiệu","3","YES","Core product relationship"
"Sản phẩm","Khuyến mãi","PromotionResource","Promotion targeting","Sản phẩm","CONFIGURATION","OCCASIONAL","pricing surfaces","Catalog","Sản phẩm","Khuyến mãi","4","YES","Commercial product configuration"
