SCOPE,SCENARIO,RESULT,EVIDENCE
SINGLE,Preview,PASS,"Generated fields visible; Product hash unchanged"
SINGLE,Approve,PASS,"APPROVED_FOR_APPLY; actor user 1; Product unchanged"
SINGLE,Approve with warning,PASS,"Explicit override; warning snapshot retained"
SINGLE,Reject,PASS,"Reason actor and timestamp retained"
SINGLE,Discard,PASS,"Logical discard; no provider history deletion"
SINGLE,Apply and double Apply,PASS,"Same Product identity; allowlist mutation; second action unavailable/idempotent"
SINGLE,Stale target,PASS,"Apply denied without overwrite"
SINGLE,Duplicate Generate,PASS,"No blocked-job spam"
SINGLE,Generate governed worker,PASS,"Request log 324; queue ai_governed"
SINGLE,Regenerate governed worker,PASS,"Request log 325; prior identity preserved during assertion"
SINGLE,Hard technical block,PASS,"Approve and Apply unavailable; reason visible"
SINGLE,RBAC and rollout,PASS,"User 1 permitted; non-operator denied; server gates retained"
SINGLE,Responsive header,PASS,"Desktop/mobile no horizontal overflow"
BULK,Preflight and rollout,PASS,"Checked filtered Product only; non-operator mutation disabled"
BULK,Mixed mutation and regenerate,PASS,"Approve warning reject discard apply and one-Product regenerate; request log 326"
SUMMARY,Playwright,PASS,"15 passed; 1 intentional legacy skip; 0 unexpected failures"
