field_key,label_vi,type,unit,nullable,group,display,importable,source_coverage,notes
technical_capacity_btu,"Công suất lạnh danh định",measurement,BTU,YES,"Capacity / Performance",YES,YES,51,"Core technical capacity; Product.btu is not overwritten."
capacity_kw,"Công suất lạnh danh định",measurement,kW,YES,"Capacity / Performance",YES,YES,51,"Source-native nominal cooling capacity."
hp,"Công suất HP",decimal,HP,YES,"Core Compatibility",YES,YES,51,"Optional. Source group 3-3.5 HP remains blank."
inverter,"Công nghệ Inverter",boolean,none,YES,"Core Compatibility",YES,YES,51,"Published series behavior."
cooling_type,"Chế độ vận hành",enum,none,YES,"Core Compatibility",YES,YES,51,"1 chiều lạnh or 2 chiều lạnh/sưởi."
voltage,"Nguồn điện",voltage,V,YES,"Core Compatibility",YES,YES,51,"Raw published supply contract; may include multiple voltage/frequency variants."
power_input_kw,"Điện năng tiêu thụ lạnh danh định",measurement,kW,YES,"Core Compatibility",YES,YES,51,"Compatibility summary derived exactly from published W / 1000 in the import artifact."
airflow,"Lưu lượng gió lạnh H/M/L/Q",text,m³/min,YES,"Core Compatibility",YES,YES,51,"Compatibility summary; detailed source-native levels are canonical below."
noise_level,"Độ ồn dàn lạnh H/M/L/Q",text,dB(A),YES,"Core Compatibility",YES,YES,51,"Compatibility summary; detailed levels are canonical below."
indoor_dimensions,"Kích thước dàn lạnh C×R×D",dimension,mm,YES,"Indoor Unit",YES,YES,51,"Compatibility summary; C=height, R=width, D=depth."
outdoor_dimensions,"Kích thước dàn nóng C×R×D",dimension,mm,YES,"Outdoor Unit",YES,YES,51,"Compatibility summary; C=height, R=width, D=depth."
weight,"Khối lượng dàn lạnh",weight,kg,YES,"Core Compatibility",YES,YES,51,"Compatibility mirror of indoor_weight_kg."
cooling_capacity_kw_min,"Công suất lạnh tối thiểu",decimal,kW,YES,"Capacity / Performance",YES,YES,47,
cooling_capacity_kw_max,"Công suất lạnh tối đa",decimal,kW,YES,"Capacity / Performance",YES,YES,47,
cooling_capacity_btu_min,"Công suất lạnh tối thiểu",number,BTU,YES,"Capacity / Performance",YES,YES,47,
cooling_capacity_btu_max,"Công suất lạnh tối đa",number,BTU,YES,"Capacity / Performance",YES,YES,47,
heating_capacity_kw_min,"Công suất sưởi tối thiểu",decimal,kW,YES,"Capacity / Performance",YES,YES,19,
heating_capacity_kw_nominal,"Công suất sưởi danh định",decimal,kW,YES,"Capacity / Performance",YES,YES,19,
heating_capacity_kw_max,"Công suất sưởi tối đa",decimal,kW,YES,"Capacity / Performance",YES,YES,19,
heating_capacity_btu_min,"Công suất sưởi tối thiểu",number,BTU,YES,"Capacity / Performance",YES,YES,19,
