ID,MODULE,SCENARIO,EXPECTED,ACTUAL,ROOT_CAUSE,FIX,TEST,STATUS
AI-001,AI Product,Provider returns content below hard content floor,Draft contains sanitized output and validation evidence,Old path could leave payload/draft empty while tokens were recorded,Validation happened before persistDraft,Preserve evidence around content-length failure,AIProductContentSystemTest::test_content_length_failure_preserves_sanitized_output_and_validation_evidence,RESOLVED_LOCAL
AI-002,AI Product,Provider success token usage,Token semantics are explicit,token_usage_json stores provider total; ai_request_logs stores tokens_total,Adapters map provider totals; input/output unavailable for Gemini,Document semantics only,code audit,DOCUMENTED
AI-003,AI Product,Blocked duplicate/stale item,No provider call and no retry,blocked with zero tokens,Idempotency/runtime gate,No code change,DB audit,CONFIRMED
AI-004,AI Product,Live screenshot 50-item list,Production evidence available,local DB has 22 items not 50,Local and live DB differ,Run read-only live export,live query,OPEN_LIVE_EVIDENCE
AI-005,AI Product,Critical fact-check block,Canonical state BLOCKED,item 169 had status BLOCKED but canonical FACT_CHECKING,missing state-machine transition,Transition FACT_CHECKING to BLOCKED,AIProductContentSystemTest::test_critical_fact_check_failure_transitions_item_to_blocked,RESOLVED_LOCAL
AI-006,AI Product queue,Queue retries a failed item,Retry reopens through QUEUED,Old worker attempted FAILED to RUNNING directly,Missing retry transition,Transition FAILED to QUEUED before RUNNING,AIProductContentSystemTest::test_queue_retry_reopens_failed_item_through_valid_state_transitions,RESOLVED_LOCAL
AI-007,AI Product parent,All children terminal,Parent cannot remain processing,Parent projection did not publish canonical terminal state,Incomplete aggregate reducer,Count terminal states and project legacy plus canonical parent state,AIProductContentSystemTest::test_parent_job_with_terminal_review_item_is_not_left_processing,RESOLVED_LOCAL
AI-008,AI Product idempotency,Explicit generation after historical failure,New request may run,Terminal FAILED item was treated as duplicate in progress,Generation operation identity was reused,Assign UUID operation_generation and lock Product during job creation,Real browser Job 58 blocked before provider then Job 59/60 passed idempotency gate,RESOLVED_LOCAL
AI-009,AI Product review,Draft needs human disposition,Preview approve-with-warning reject regenerate discard apply are available,Product page lacked complete review actions,UI exposed status without full workflow,Add Product actions and audit-preserving logical discard,AiProductStateConsistencyTest and real browser draft preview,RESOLVED_LOCAL
AI-010,AI Product eligibility,Rejected discarded applied history,Future generation is eligible,Terminal draft status could remain in active conflict query,Conflict query ignored approval terminality,Exclude terminal approvals and applied timestamp,AiProductStateConsistencyTest::test_rejected_discarded_and_applied_drafts_do_not_block_future_generation,RESOLVED_LOCAL
AI-011,AI Product operations,Job detail is system-managed,No generic Save and draft is previewable,EditRecord exposed generic save semantics,Operational record presented as editable CMS record,Remove form actions and add draft/Product actions,Focused Filament tests and source audit,RESOLVED_LOCAL
AI-012,AI Product approval,Product edited after approval,Apply must not silently overwrite manual edits,Approval did not snapshot canonical Product content,Missing stale-target hash gate,Store approval-time content hash and require exact match at Apply,Phase2CControlledDraftApplyTest and Playwright stale conflict,PASS
AI-013,AI Product audit,Warning reject and discard actor evidence,Every human disposition must preserve identity and timestamp,Warning override was encoded only in note and reject/discard reused approval fields,Incomplete review audit schema,Add warning snapshot override and dedicated rejected/discarded actor timestamps,AIProductActionRbacCertificationTest and Playwright action matrix,PASS
AI-014,AI Product RBAC,Manipulated or hidden action invocation,UI and server must enforce the same permissions,Review services did not all enforce canonical authorization,Authorization existed mainly at Filament action layer,Enforce approve permission in reject/discard and generate permission in supersede service,AIProductActionRbacCertificationTest,PASS
AI-015,AI Product browser,Complete action and actor matrix,All action/RBAC scenarios must pass together,Previously only generation and preview had real browser proof,Certification coverage gap,Add isolated Playwright action/RBAC fixture and complete suite,11 passed plus 1 intentional real-provider skip,PASS
AI-016,AI Product panel,Known terminal and field states,Known persisted states must not render as unknown,DISCARDED and GENERATED-class values fell through presenter default,Presenter mapping incomplete,Add explicit Vietnamese state mappings and browser reload assertions,AIProductActionRbacCertificationTest and 11-case Playwright suite,PASS
AI-APPLY-CONFIRMATION-001,AI Product Apply,Approved draft Apply requires explicit confirmation,Apply modal must satisfy backend confirmation while retaining fact and stale guards,Header action passed null confirmation and exposed raw APPLY_CONFIRMATION_REQUIRED,Filament wiring omitted the single-operator confirmation contract,Add ProductAiApplyReadiness typed confirmation modal warning classification row locks and human error mapping,Phase2CControlledDraftApplyTest plus AIProductActionRbacCertificationTest plus 12-case Playwright suite,PASS
AI-PRODUCT-BULK-001,AI Product bulk,Selected failed retry should act only on current actionable state,Historical evidence must not be retried by a bulk command,Legacy action loaded all failed/stuck/cancelled rows for each selected Product,No canonical latest-item preflight or operation ledger,Remove legacy retry and add preflight-ledger regeneration through governed queue,ProductAiBulkWorkflowTest and product bulk Playwright suite,PASS
AI-PRODUCT-BULK-002,AI Product bulk,Non-operator must not receive an actionable mutation control during controlled rollout,Read-only review may remain available while mutation is denied,UI allowed a full-RBAC fixture actor to invoke domain policy failure,Single operator policy was only enforced after action dispatch,Disable bulk mutation actions with operator-only guidance while retaining server-side policy,Product bulk Playwright suite,PASS
