key,label,v1_w_m2,proposed_v2_w_m2,reference_btu_m2,confidence,source,activation_decision,reason
nha_o,"Căn hộ, nhà ở",120,175.843,600,HIGH,"Panasonic Vietnam 600 BTU/h/m² consumer baseline",ACTIVATE_V2,"Approved category-specific HIGH/MEDIUM calibration"
phong_khach,"Phòng khách (nhà ở)",120,205.15,700,MEDIUM,"Approved lower reference bound 700 BTU/h/m²",ACTIVATE_V2,"Approved category-specific HIGH/MEDIUM calibration"
khach_san,"Khách sạn, nhà nghỉ",120,219.803,750,HIGH,"Panasonic Vietnam hotel range midpoint 700–800 BTU/h/m²",ACTIVATE_V2,"Approved category-specific HIGH/MEDIUM calibration"
van_phong,"Văn phòng (viền ngoài)",170,219.803,750,HIGH,"Panasonic Vietnam office range midpoint 700–800 BTU/h/m²",ACTIVATE_V2,"Approved category-specific HIGH/MEDIUM calibration"
van_phong_interior,"Văn phòng (bên trong)",100,205.15,700,MEDIUM,"Approved lower office bound; source has no interior distinction",ACTIVATE_V2,"Approved category-specific HIGH/MEDIUM calibration"
van_phong_private,"Văn phòng cá nhân",180,219.803,750,MEDIUM,"Approved office midpoint; source has no private-office distinction",ACTIVATE_V2,"Approved category-specific HIGH/MEDIUM calibration"
cua_hang,"Cửa hàng",165,234.457,800,MEDIUM,"Approved calibration retail reference 800 BTU/h/m²",ACTIVATE_V2,"Approved category-specific HIGH/MEDIUM calibration"
sieu_thi,"Siêu thị",160,160,900,LOW,"Semantic variation remains unresolved",REVIEW_ONLY,"LOW confidence; exact v1 factor retained in hybrid v2 pending review"
showroom,Showroom,300,300,1023.64,LOW,"No showroom-specific source",REVIEW_ONLY,"LOW confidence; exact v1 factor retained in hybrid v2 pending review"
ngan_hang,"Ngân hàng",175,249.11,850,MEDIUM,"Approved calibration bank reference 850 BTU/h/m²",ACTIVATE_V2,"Approved category-specific HIGH/MEDIUM calibration"
nha_hang,"Nhà hàng",330,278.417,950,HIGH,"Panasonic Vietnam restaurant range midpoint 900–1000 BTU/h/m²",ACTIVATE_V2,"Approved category-specific HIGH/MEDIUM calibration"
cafe,"Quán cà phê",350,278.417,950,HIGH,"Panasonic Vietnam cafe range midpoint 900–1000 BTU/h/m²",ACTIVATE_V2,"Approved category-specific HIGH/MEDIUM calibration"
fastfood,"Thức ăn nhanh, giải khát",270,293.071,1000,MEDIUM,"Approved upper Panasonic restaurant range for higher turnover",ACTIVATE_V2,"Approved category-specific HIGH/MEDIUM calibration"
hoi_truong,"Hội trường, giảng đường",280,278.417,950,HIGH,"Panasonic Vietnam hall range midpoint 900–1000 BTU/h/m²",ACTIVATE_V2,"Approved category-specific HIGH/MEDIUM calibration"
phong_hop,"Phòng họp",275,275,938.34,LOW,"Available references disagree materially",REVIEW_ONLY,"LOW confidence; exact v1 factor retained in hybrid v2 pending review"
phong_hoc,"Phòng học",95,95,324.15,LOW,"Classroom and occupancy scope unresolved",REVIEW_ONLY,"LOW confidence; exact v1 factor retained in hybrid v2 pending review"
thu_vien,"Thư viện",150,249.11,850,MEDIUM,"Approved calibration library/museum reference 850 BTU/h/m²",ACTIVATE_V2,"Approved category-specific HIGH/MEDIUM calibration"
rap_hat,"Rạp hát",280,280,955.4,LOW,"Available reference is not theatre-specific",REVIEW_ONLY,"LOW confidence; exact v1 factor retained in hybrid v2 pending review"
benh_vien,"Bệnh viện, phòng khám",190,190,648.31,LOW,"Healthcare-specific authority pending",REVIEW_ONLY,"LOW confidence; exact v1 factor retained in hybrid v2 pending review"
phong_duoc,"Văn phòng dược",185,185,631.25,LOW,"Medical-office authority pending",REVIEW_ONLY,"LOW confidence; exact v1 factor retained in hybrid v2 pending review"
nha_xuong,"Nhà xưởng (CN nhẹ)",275,275,938.34,LOW,"Process-load authority pending",REVIEW_ONLY,"LOW confidence; exact v1 factor retained in hybrid v2 pending review"
nha_xuong_nang,"Nhà xưởng (CN nặng)",490,490,1671.95,LOW,"Process-load authority pending",REVIEW_ONLY,"LOW confidence; exact v1 factor retained in hybrid v2 pending review"
phong_may_tinh,"Phòng máy tính / Server",480,480,1637.83,LOW,"Equipment-specific sizing required",REVIEW_ONLY,"LOW confidence; exact v1 factor retained in hybrid v2 pending review"
phong_thi_nghiem,"Phòng thí nghiệm",230,230,784.79,LOW,"Laboratory-specific authority pending",REVIEW_ONLY,"LOW confidence; exact v1 factor retained in hybrid v2 pending review"
tham_my_vien,"Thẩm mỹ viện",260,260,887.16,LOW,"Beauty-shop-specific authority pending",REVIEW_ONLY,"LOW confidence; exact v1 factor retained in hybrid v2 pending review"
sanh_hanh_lang,"Sảnh, hành lang",135,135,460.64,LOW,"Lobby and corridor semantics must be split",REVIEW_ONLY,"LOW confidence; exact v1 factor retained in hybrid v2 pending review"
tang_ham,"Tầng hầm",125,125,426.52,LOW,"Basement-specific authority pending",REVIEW_ONLY,"LOW confidence; exact v1 factor retained in hybrid v2 pending review"
