current_label,class,file,route,type,model,current_group,current_sort,icon,permission,access,common_usage,parent_domain,related_resources,frontend_location,frequency,visibility
"Bảng điều khiển","Filament\\Pages\\Dashboard","vendor/filament dashboard + app widgets","filament.admin.pages.dashboard","Page","","Tổng quan","0","home","dashboard.view","read","KPI và cảnh báo","Tổng quan","MainDashboardWidget; SystemHealthWidget","admin only","DAILY","visible"
"Khách hàng tiềm năng","LeadResource","app/Filament/Resources/Leads/LeadResource.php","filament.admin.resources.leads.index","Resource","Lead","Bán hàng","1","rectangle-stack","lead.*","read/write","Xử lý lead","Bán hàng","QuoteRequest; Product","lead forms and landing submissions","DAILY","permission"
"Báo giá","QuoteRequestResource","app/Filament/Resources/QuoteRequests/QuoteRequestResource.php","filament.admin.resources.quote-requests.index","Resource","QuoteRequest","Bán hàng","2","document-currency","quote_request.*","read/write","Xử lý yêu cầu báo giá","Bán hàng","Lead; Product; QuoteCommitmentBlock","resources/views/pages/quote.blade.php","DAILY","permission"
"Đánh giá","ProductReviewResource","app/Filament/Resources/ProductReviews/ProductReviewResource.php","filament.admin.resources.product-reviews.index","Resource","ProductReview","Bán hàng","10","star","product_review.*","read/write","Duyệt đánh giá sản phẩm","Bán hàng","Product; User","product detail","DAILY","permission+actionable badge"
"Hỏi đáp","ProductQuestionResource","app/Filament/Resources/ProductQuestions/ProductQuestionResource.php","filament.admin.resources.product-questions.index","Resource","ProductQuestion","Bán hàng","11","chat-bubble-left-right","product_question.*","read/write","Trả lời câu hỏi sản phẩm","Bán hàng","Product; User","product detail","DAILY","permission+actionable badge"
"Tư vấn công suất BTU","BtuCalculationResource","app/Filament/Resources/BtuCalculations/BtuCalculationResource.php","filament.admin.resources.btu-calculations.index","Resource","BtuCalculation","Bán hàng","5","calculator","btu_calculator.view/edit","read/write","Theo dõi tư vấn BTU","Bán hàng","Lead; Product recommendation","BTU calculator","WEEKLY","permission"
"Sản phẩm","ProductResource","app/Filament/Resources/Products/ProductResource.php","filament.admin.resources.products.index","Resource","Product","Sản phẩm","1","rectangle-stack","product.*","read/write","Quản lý hàng hóa","Sản phẩm","Brand; ProductCategory; FAQ; Tag; Promotion","product listing and detail","DAILY","permission"
"Danh mục sản phẩm","ProductCategoryResource","app/Filament/Resources/ProductCategories/ProductCategoryResource.php","filament.admin.resources.product-categories.index","Resource","ProductCategory","Sản phẩm","2","rectangle-stack","product_category.*","read/write","Phân loại sản phẩm","Sản phẩm","Product; FAQ; parent category","category pages","WEEKLY","permission"
"Thương hiệu","BrandResource","app/Filament/Resources/Brands/BrandResource.php","filament.admin.resources.brands.index","Resource","Brand","Sản phẩm","3","rectangle-stack","brand.*","read/write","Quản lý thương hiệu","Sản phẩm","Product; Promotion","brand pages","WEEKLY","permission"
"Khuyến mãi","PromotionResource","app/Filament/Resources/Promotions/PromotionResource.php","filament.admin.resources.promotions.index","Resource","Promotion","Sản phẩm","4","rectangle-stack","promotion.*","read/write","Quản lý chương trình bán hàng","Sản phẩm","Product; Brand; ProductCategory","product pricing surfaces","OCCASIONAL","permission"
