ID,AREA,SYMPTOM,SEVERITY,EVIDENCE,ROOT_CAUSE,FILES,DATABASE_IMPACT,USER_IMPACT,DATA_RISK,SECURITY_RISK,FIX_STRATEGY,DEPENDENCIES,TEST_PLAN,STATUS
AI-STATE-001,State resolver,"Product current state follows latest Item instead of canonical lineage",P0,"AiProductContentStateResolver::latestItem uses latest(id); Product 1239 latest Item 166 points to APPLIED draft while drafts 1 and 2 remain REVIEW_REQUIRED","Historical recency is conflated with current actionability","app/Services/AI/AiProductContentStateResolver.php; app/Models/Product.php","Can hide actionable drafts or expose stale state","Wrong actions and permanent lock/confusion",HIGH,MEDIUM,"Replace with canonical lineage resolver; history display-only",AI-SCHEMA-008,"Property and fixture tests for terminal history and multiple lineage",PROVEN
AI-STATE-002,Parent reconciliation,"Parent remains QUEUED/RUNNING after every child is terminal/actionable",P0,"Jobs 36 40 42 43 44 47 48 49 50 53 54 55 56 57 have no active child; Job 57 has finished_at but canonical RUNNING","Aggregation is embedded in queue job and uses legacy child status","app/Jobs/AiProductContentSingleJob.php","14 inconsistent parents in baseline DB","Dashboard/duplicate/recovery decisions are false",HIGH,MEDIUM,"Extract canonical parent reconciler and run after every child transition",AI-STATE-001,"Aggregation matrix all success/review/blocked/failed/cancelled/mixed",PROVEN
AI-DATA-003,Draft lineage,"More than one actionable draft exists for one Product",P0,"Product 1239 has drafts 1 and 2 REVIEW_REQUIRED plus draft 5 APPLIED","No enforced canonical currentness and resolver hides conflict with latest item","app/Services/AI/AiProductContentStateResolver.php; app/Models/AiProductDraft.php","Multiple drafts can compete for review/apply","Operator may approve/apply wrong lineage",CRITICAL,MEDIUM,"Resolver returns invariant blocker; regenerate supersedes atomically; preserve history",AI-STATE-001,"Multiple actionable drafts fixture and scanner test",PROVEN
AI-LIFE-004,Cancellation,"Cancel/recover directly writes state and worker can continue toward provider",P0,"EditProduct recover action directly updates Job/Item; worker only early-exits BLOCKED_FINAL and checks bulk cancel after entering runtime path","Lifecycle mutations are distributed and cancellation has no durable intent/checkpoints","app/Filament/Resources/Products/Pages/EditProduct.php; app/Jobs/AiProductContentSingleJob.php; app/Services/AI/AIQueueMonitor.php","Ghost processing and inconsistent audit are possible","Cancelled work may spend tokens or retain locks",HIGH,HIGH,"Common lifecycle service; cancel intent fields; worker checkpoints and lease release",AI-SCHEMA-008;AI-STATE-002,"Queued/running/bulk cancel and cancel-before-provider concurrency tests",PROVEN
AI-RETRY-005,Retry,"Terminal FAILED Item can be reopened to QUEUED",P1,"AIJobStateMachine allows FAILED to QUEUED; worker retry path performs reopen; production log previously showed FAILED to RUNNING error","Manual and queue retry semantics are conflated","app/Services/AI/AIJobStateMachine.php; app/Jobs/AiProductContentSingleJob.php", "Terminal evidence can be overwritten or become contradictory","Retry loops and misleading history",HIGH,MEDIUM,"Make terminal immutable; manual retry creates new operation; queue retry only pre-terminal",AI-STATE-002;AI-LIFE-004,"Terminal transition rejection and new-operation retry tests",PROVEN
AI-DUP-006,Eligibility,"Duplicate conflict mixes legacy Item and Draft states",P1,"Eligibility queries Item status queued processing needs_review and Draft status strings independently; canonical mismatches exist on Items 166 169 171 172 176","No shared active-lineage query","app/Services/Product/ProductContentEligibilityPolicy.php", "False positive/negative duplicate blocks","Generate may be blocked forever or duplicated",HIGH,MEDIUM,"Use canonical resolver/query under Product row lock",AI-STATE-001,"Double Generate terminal history and single/bulk concurrency tests",PROVEN
AI-SPECIAL-007,Eligibility,"Four Product IDs are hard-coded as historical exclusions",P1,"HISTORICAL_EXCLUSIONS equals 1237 1241 1242 1261","Operational disposition was encoded in production policy","app/Services/Product/ProductContentEligibilityPolicy.php","Specific Products receive non-domain behavior","Unexplainable permanent block",MEDIUM,LOW,"Remove ID special-case; preserve disposition as audit/history data",AI-STATE-001,"Same-state fixtures including four IDs",PROVEN
AI-SCHEMA-008,Schema,"Cancellation and queue payload lack durable correlation/audit fields and canonical lookup indexes",P1,"No cancel_requested fields or dispatch_uuid; indexes omit product_id canonical_status and product_id approval_status applied_at","Schema predates lifecycle and integrity requirements","database/migrations/*ai_product*; app/Models/AiProductJobItem.php","Scanner cannot reliably correlate queue payload; active queries are less selective","Weak cancellation audit and recovery certainty",MEDIUM,MEDIUM,"Additive migration only; nullable UUID and indexes; no historical state rewrite",NONE,"Migration up/down schema and correlation tests",PROVEN
AI-APPROVAL-009,Approval,"Approved draft can lack approved content hash",P1,"Draft 6 Product 1242 has APPROVED_FOR_APPLY without approved_content_hash","Legacy approval path/data predates current hash invariant","app/Models/AiProductDraft.php; app/Services/Product/AIProductDraftApplyService.php","Stale/apply verification may be incomplete","Unsafe overwrite risk on legacy draft",HIGH,MEDIUM,"Compatibility readiness blocks or explicitly classifies legacy draft; backfill only if provable",AI-STATE-001,"Legacy approved draft readiness and stale target tests",PROVEN
AI-STATE-010,Compatibility,"Legacy and canonical Item statuses disagree",P1,"Items 166 169 171 172 176 have legacy/canonical semantic mismatch","Overlapping state columns are updated by different paths","app/Models/AiProductJobItem.php; app/Services/AI/AIJobStateMachine.php; app/Jobs/AiProductContentSingleJob.php","Five baseline mismatches","Bad badges/readiness/reconciliation",HIGH,MEDIUM,"Canonical authority plus read adapter; remove direct writes; scanner classifies history",AI-STATE-001;AI-STATE-002,"Legacy matrix and no-direct-mutation tests",PROVEN
AI-OPS-011,Integrity,"No read-only AI Product invariant scanner exists",P1,"Repository has no ai:product-integrity-audit command; anomalies required ad hoc SQL","Operational integrity checks are fragmented","app/Console/Commands; app/Services/AI",NONE,"Operators discover ghost state only through UI incidents",MEDIUM,LOW,"Add JSON/CSV scanner with nonzero exit on unknown violation",AI-STATE-001;AI-STATE-002,"Command output exit code and no-mutation tests",PROVEN
AI-PARITY-012,Single bulk parity,"Single Filament and bulk services own overlapping generate/cancel/reconcile logic",P1,"EditProduct queueAiGeneration/recover actions coexist with ProductAiBulkWorkflowService and queue-job aggregation","Domain rules are duplicated at orchestration edges","app/Filament/Resources/Products/Pages/EditProduct.php; app/Services/AI/ProductAiBulkWorkflowService.php; app/Jobs/AiProductContentSingleJob.php","Different outcomes for same Product state","RBAC and safety behavior can diverge",HIGH,HIGH,"Route both UIs through lifecycle/resolver/reconciler services",AI-LIFE-004;AI-DUP-006,"Single/bulk parity and server-side RBAC tests",PROVEN
AI-ENC-013,Encoding,"Historical Vietnamese evidence contains mojibake candidates",P2,"Existing encoding artifact records 26 confirmed occurrences and 30 low-confidence candidates","Legacy content/import encoding and mixed evidence sources","docs/reports/final/artifacts/ai_encoding_issue_matrix.csv","Historical display may remain malformed","Reduced operator comprehension",LOW,LOW,"Fix active operator copy; preserve historical raw evidence; classify legacy rows",AI-STATE-001,"UTF-8 API/browser regression and artifact rescan",PROVEN
